publishedAt,authorDisplayName,textDisplay,likeCount,original_text,processed_text
2024-12-09T05:28:46Z,@citrasantosochannel,tak lupa menyebut nama allah semoga sehat pak ya aaaamiiin ya allah,0,Tak Lupa Menyebut Nama ALLAH. semoga sehat Pak Ya. Aaaamiiin ya ALLAH,lupa sebut nama allah moga sehat ya aaaamiiin ya allah
2024-12-08T07:32:44Z,@UunNurhayati-e8l,presiden ri selamanya uun nurhayati spd ssos wakil mas wahyu widianto di usung bu mega sakti ingat di dunia ini ada pangeran saya suami dan bu mega sakti hidup selamanya saya dan suami akan secara berkesinambungan dan berkelanjutan tanpa ada pergantian pemimpin negeri yang abadi selamanya secara berkesinambungan dan berkelanjutan memimpin negeri ini semoga memimpin negeri ini semoga memimpin negeri ini selalu ada dalam lindungan alloh swt,0,PRESIDEN RI 2022-SELAMANYA UUN NURHAYATI SPD SSOS WAKIL MAS WAHYU WIDIANTO DI USUNG BU MEGA SAKTI&#39; 🇮🇩 INGAT DI DUNIA INI ADA 3 PANGERAN SAYA SUAMI DAN BU MEGA SAKTI&#39; HIDUP SELAMANYA 🇮🇩❤️🙏 SAYA DAN SUAMI AKAN SECARA BERKESINAMBUNGAN DAN BERKELANJUTAN TANPA ADA PERGANTIAN PEMIMPIN NEGERI YANG ABADI SELAMANYA SECARA BERKESINAMBUNGAN DAN BERKELANJUTAN MEMIMPIN NEGERI INI SEMOGA MEMIMPIN NEGERI INI SEMOGA MEMIMPIN NEGERI INI SELALU ADA DALAM LINDUNGAN ALLOH SWT 🇮🇩,presiden ri uun nurhayati spd ssos wakil mas wahyu widianto usung bu mega sakti dunia pangeran suami bu mega sakti hidup suami berkesinambungan berkelanjutan pergantian pimpin negeri abadi berkesinambungan berkelanjutan pimpin negeri moga pimpin negeri moga pimpin negeri lindung alloh swt
2024-12-06T17:12:37Z,@mairinmieayam4609,mantap pak prabowo presidenku rakyat indonesia yakin ke depan nya pasti lebih baik dan gak ada kemiskinan lagi rakyat indonesa amiinn,0,"Mantap pak prabowo presidenku, rakyat indonesia yakin ke  depan nya pasti lebih baik dan gak ada kemiskinan lagi rakyat indonesa amiinn👍👍👍🙏🙏🙏",mantap prabowo presiden rakyat indonesia nya gak miskin rakyat indonesa amiinn
2024-12-06T13:31:21Z,@selvitrisnawati-q9f,luar biasasehat selalu bapak presiden pak prabowotuhan memberkati dalam tugas kerja dan pelayanan,0,Luar biasa...sehat selalu bapak presiden  pak prabowo...Tuhan Memberkati dalam tugas kerja dan pelayanan...🙏🙏,biasasehat presiden prabowotuhan memberkati tugas kerja layan
2024-12-06T09:48:30Z,@eriksonsitumorang2543,,0,👍👍👍,
2024-12-06T06:15:07Z,@orapopolahe,luar biasa ingatan pak prabowo menyebut nama semua orang tanpa text really appreciate,0,"luar biasa ingatan pak prabowo, menyebut nama semua orang tanpa text. Really Appreciate",ingat prabowo sebut nama orang text really appreciate
2024-12-05T16:26:39Z,@Mohamadkhamis-go4dc,semoga indonesia maju dan semoga negara asean berkembang pesat,0,Semoga Indonesia maju dan semoga negara2 ASEAN berkembang pesat❤,moga indonesia maju moga negara ase kembang pesat
2024-12-04T12:52:12Z,@Rosid7797,pemimpin yg baik dari hati akan sampai ke hatisemoga bapa prabowo sehat selalu banyak rejeki murah hati semoga cita cita bapa tercapaidan jadi pemimpin yg diridoi allah untuk kita semua aminn,0,"Pemimpin yg baik dari hati akan sampai ke hati,semoga bapa prabowo sehat selalu banyak rejeki murah hati semoga cita cita bapa tercapai.dan jadi pemimpin yg diridoi allah untuk kita semua aminn😊",pimpin yg hati hatisemoga bapa prabowo sehat rejeki murah hati moga cita cita bapa tercapaidan pimpin yg diridoi allah aminn
2024-12-04T12:36:03Z,@zainal5252,pidato yg sgt berani di hadapan para pemimpin dunia,0,pidato yg sgt berani di hadapan para pemimpin dunia,pidato yg sgt berani hadap pimpin dunia
2024-12-04T12:32:39Z,@zainal5252,subhanallah pak prabowo,0,subhanallah pak Prabowo 😢💟,subhanallah prabowo
2024-12-02T08:47:19Z,@josuajonias7314,saya lupa menguraikan tantangan gaji saya tahun rpbr tahun,0,Saya lupa menguraikan tantangan gaji saya ;  tahun2023. = Rp2000000<br>          .    Tahun2024       =2400000.   -   2600000.,lupa menguraikan tantang gaji rpbr
2024-12-01T04:33:00Z,@AzkaIsal,apa yg pernah dikatakan alm bapa saya suatu saat akan datang sosok pemimpin yg mengerti akan nasib rakyatnya dan suaranya saat berpidato akan sprti bung karnodan akhlaknya akan sprti khalifah kita semua umar bin khattab aku dulu dengar alm bapa cerita itu prnh mengganggap cerita khayalan saja dan omong kosong belaka skrng usia ku sdh tndan akhirnya saya mendengar dan melihat baru sx ini saya mendengar pidato presiden kita suaranya menggelegar sampai air mata terharu menetes semoga alloh menjadikan sosok pemimpin kita ada di bapak kita bapa presiden prabowo,4,Apa yg pernah dikatakan ALM bapa saya... Suatu saat akan datang sosok pemimpin yg mengerti akan nasib rakyatnya.. Dan suaranya saat berpidato akan sprti bung karno..dan akhlaknya akan sprti khalifah kita semua.. Umar bin Khattab.. Aku dulu dengar alm bapa cerita itu.. Prnh mengganggap cerita khayalan saja dan omong kosong belaka... Skrng usia ku sdh 44tn..dan akhirnya saya mendengar dan melihat.. Baru sx ini saya mendengar pidato presiden kita suaranya menggelegar.. Sampai air mata terharu menetes.. Semoga Alloh menjadikan sosok pemimpin kita ada di bapak kita.. Bapa presiden prabowo... 🥺🤲🤲🙏🙏💪💪💪,yg alm bapa sosok pimpin yg mengerti nasib rakyat suara pidato sprti karnodan akhlak sprti khalifah umar bin khattab dengar alm bapa cerita prnh mengganggap cerita khayal omong kosong belaka skrng usia ku sdh tndan dengar sx dengar pidato presiden suara gelegar air mata haru menetes moga alloh menjadikan sosok pimpin bapa presiden prabowo
2024-11-27T02:40:41Z,@shifaalya9660,walaupun presiden dipilih pdip memfitnah semua program beliau lihat bagaimana program food estate dibenci keberadaannya oleh pdip dengan corong moncong nya hasto k menuduh projek gagal berapa keji nya partai ini kenapa rakyat masih dibodohi terus terusan oleh partai ini,0,Walaupun Presiden dipilih PDIP memfitnah semua program2 beliau ...lihat bagaimana Program Food Estate dibenci keberadaannya oleh PDIP dengan corong moncong nya HASTO K. menuduh projek gagal ..berapa keji nya partai ini ..kenapa rakyat masih dibodohi terus terusan oleh partai ini,presiden pilih pdip memfitnah program beliau lihat program food estate dibenci keberadaannya pdip corong moncong nya hasto k uduh projek gagal keji nya partai rakyat bodoh terus partai
2024-11-26T16:34:31Z,@Efing-u5t,tidak salah pilihankubrpresiden ku pak prabowo,0,Tidak salah pilihanku.<br>Presiden ku ❤ Pak Prabowo,salah pilihankubrpresiden ku prabowo
2024-11-26T13:58:35Z,@suparalan6771,ya allah panjangkanlah umur pk prabowo dan sehatkan badannya permudahkan beliau dlm segala urusannya dan semoga dlm kepemimpinannya menjadikan indonesia jaya dan makmur,0,"Ya Allah panjangkanlah umur pk Prabowo dan sehatkan badannya, permudahkan beliau dlm segala urusannya dan semoga dlm kepemimpinannya menjadikan indonesia jaya dan makmur.",ya allah panjangkanlah umur pk prabowo sehatkan badan permudahkan beliau dlm urus moga dlm kepemimpinannya menjadikan indonesia jaya makmur
2024-11-25T15:26:38Z,@adiansyahaziz9037,luarbiasa tanpa teks dan hafal nama dan jabatannya masing,0,Luarbiasa tanpa teks dan hafal nama2 dan jabatannya masing2,luarbiasa teks hafal nama jabat
2024-11-24T14:35:03Z,@TarjukiBtg,hebat beliau sangat cerdas sekali salam bahagia untuk beliau,0,Hebat  beliau sangat cerdas sekali  salam bahagia untuk beliau 🙏,hebat beliau cerdas salam bahagia beliau
2024-11-24T07:42:26Z,@desishariyanti2617,mantab pak prabowo,0,mantab pak Prabowo..👍,mantab prabowo
2024-11-24T06:27:01Z,@tatikhayati2313,presiden ri bapak prsbowo saya mau bertanya br kami sbg s spd pengabdian honorer di pemerintahan bapak presiden prabowo yang bijaksana apa mau mengangkat menjadi pns kah asn kah pk kah ini yang sudah pengabdian selama tahun lebih tahun kurang sudah berkali mengikutiumur diakui dan ditetima resmi presidan bapak sby sampai sekarangbr atau tidak mau mengangkat sampai mati bagaimana bapak presiden dari kami orang yang masih membutuhkan mohon penjelasannya,1,"Presiden RI bapak Prsbowo saya mau bertanya :<br>1. Kami 2 sbg. S1 Spd. Pengabdian/ honorer di pemerintahan. Bapak presiden prabowo yang bijaksana apa mau mengangkat menjadi PNS kah , ASN kah, P3K kah ini yang sudah pengabdian selama 10 tahun lebih 15 tahun kurang sudah berkali2 mengikutiumur 37 -+ diakui dan ditetima resmi Presidan bapak SBY  sampai sekarang.<br>2. Atau tidak mau mengangkat sampai mati. Bagaimana bapak Presiden, dari kami orang yang masih membutuhkan  mohon penjelasannya.",presiden ri prsbowo br sbg s spd abdi honorer perintah presiden prabowo bijaksana angkat pns kah asn kah pk kah abdi kal mengikutiumur aku ditetima resmi presidan sby sekarangbr angkat mati presiden orang membutuhkan mohon jelas
2024-11-24T06:31:49Z,@tatikhayati2313,dipemerintahan kabupaten batang,0,Dipemerintahan kabupaten batang.,dipemerintahan kabupaten batang
2024-11-24T11:44:41Z,@tatikhayati2313,berkali mengikuti tes terus kepada pemerintah,0,Berkali2 mengikuti tes 2 terus kepada pemerintah.,kal ikut tes perin
2024-11-22T15:08:05Z,@MahmurMur-lu2sl,bangga bangt,0,Bangga bangt,bangga bangt
2024-11-19T03:02:49Z,@Dzoelvia,ya allah berinding aku dengerin speechnya bapak presiden,0,ya allah.. berinding aku dengerin speechnya bapak Presiden....,ya allah inding dengerin speechnya presiden
2024-11-18T14:07:48Z,@ForHumanityChannel,hafal semua nama kepala negara,0,hafal semua nama2 kepala negara2,hafal nama kepala negara
2024-11-18T03:09:42Z,@UunNurhayati-e8l,kalian semua sudah di pecat apalagi si karjo masih saja diam di belakang kaga sopan sedikit saja ajing semua pepelekek,0,KALIAN SEMUA SUDAH DI PECAT APALAGI SI KARJO MASIH SAJA DIAM DI BELAKANG KAGA SOPAN SEDIKIT SAJA AJING SEMUA PEPELEKEK....😂,pecat si karjo diam kaga sopan ajing pepelekek
2024-11-17T16:30:30Z,@payoedan2695,moyang banteng mah ketarketir menonton pidato inibrbrmenyala presidenku,0,Moyang Banteng mah ketar-ketir menonton pidato ini...<br><br>Menyala Presidenku...❤❤❤,moyang banteng mah ketarketir menonton pidato inibrbrmenyala presiden
2024-11-17T16:23:50Z,@payoedan2695,allahu akbarbrlindungilah selalu beliau presidenku ya allah,0,Allahu Akbar...<br>Lindungilah selalu beliau Presidenku ya Allah...,allahu akbarbrlindungilah beliau presiden ya allah
2024-11-17T14:47:09Z,@xixnemo4416,siapa yg punya alam,0,siapa yg punya alam ??😄😄😄😄😄😄,yg alam
2024-11-17T12:53:39Z,@OktavianaSeuk-o3b,lima tahun kedepan pasti koruptor pada ketar ketirbrbrprabowo bapak pembasmi koruptor,0,Lima tahun kedepan pasti koruptor pada ketar ketir..<br><br>PRABOWO BAPAK PEMBASMI KORUPTOR,dep koruptor ketar ketirbrbrprabowo pembasmi koruptor
2024-11-16T07:55:49Z,@HumalidiMasriaji-j1r,pidato presiden ri cukup merah putih tanpa teks,0,"Pidato presiden  RI , 🇲🇨🇲🇨.cukup merah putih  tanpa teks  ,",pidato presiden ri merah putih teks
2024-11-16T07:53:46Z,@HumalidiMasriaji-j1r,betul,0,Betul 👍👍👍👍,
2024-11-16T07:15:11Z,@ahermat779,masih ada yg usia diatas th msh berjuang sebagai driver gojek seperti sayapak presiden semoga ketentraman hanya ada dlm kepemimpinan bpk prabowo,0,"Masih ada yg usia diatas 70th msh berjuang sebagai driver gojek, seperti saya..pak presiden. Semoga ketentraman hanya ada dlm kepemimpinan BPK. Prabowo",yg usia atas th msh juang driver gojek sayapak presiden moga ketentraman dlm kepemimpinan bpk prabowo
2024-11-16T06:23:04Z,@kellyessir,amiin ya robal alamin,0,amiin ya robal alamin,amiin ya robal alamin
2024-11-15T12:08:56Z,@jokybaladewek4327,selamat pak presidensemoga amanahbisa membangun negri inidan panjang umur bisamembangunmensejahterakan rakyat negri kita tercinta indonesiaaamiin,0,"Selamat pak presiden,semoga amanah,bisa membangun negri ini,dan panjang umur ,bisa,membangun,mensejahterakan rakyat .negri kita tercinta Indonesia.aamiin",selamat presidensemoga amanahbisa membangun negri inidan umur bisamembangunmensejahterakan rakyat negri cinta indonesiaaamiin
2024-11-15T01:36:52Z,@ansaranggartha9416,bangasa yang baldatun taibatun warabbul galfurr,0,"Bangasa yang baldatun taibatun wara,bbul galfurr😊😊",bangasa baldatun taibatun warabbul galfurr
2024-11-15T01:25:06Z,@ansaranggartha9416,sama dengan ust yahya waeloni tegas,0,Sama dengan ust yahya waeloni tegas😊😊,ust yahya waeloni
2024-11-15T01:23:47Z,@ansaranggartha9416,indonesia butuh pemimpin yang tegas jujur dan beradab karna indonesia ini sangat kaya jangan sampaii indonesia miskin gara pemimpin yang hanya mementingkan dirinya sendiri semoga pak prabowo membawa kita kejalan yang leboh baik kedepannya sehat selalu bapaku,0,"Indonesia butuh pemimpin yang tegas jujur dan beradab karna Indonesia ini sangat kaya jangan sampaii Indonesia miskin gara2 pemimpin yang hanya mementingkan dirinya sendiri, semoga pak prabowo membawa kita kejalan yang leboh baik kedepannya, sehat selalu bapaku😊😊😊",indonesia butuh pimpin jujur adab karna indonesia kaya sampai indonesia miskin gara pimpin mementingkan moga prabowo membawa kejalan leboh dep sehat bapa
2024-11-15T01:20:35Z,@ansaranggartha9416,semoga pak prabowo dapat memimpin indonesia selama tahun kedepan sehat selalu pak prabowo,0,Semoga pak prabowo dapat memimpin Indonesia selama 50 tahun kedepan sehat selalu pak prabowo😊😊,moga prabowo pimpin indonesia dep sehat prabowo
2024-11-14T18:22:43Z,@AbdulYaa,kasian puang maharani tidak di sapa,0,Kasian puang maharani tidak di sapa 😂🤣😂🤣😁,kasi puang maharani sapa
2024-11-14T16:21:00Z,@MaragantiBatubara,gak ada malu kau,0,Gak ada malu kau!!!!,gak malu kau
2024-11-14T16:20:37Z,@MaragantiBatubara,tuntut dulu bandingkan jokowi katakan jujur kah kau,0,Tuntut dulu bandingkan jokowi katakan jujur kah kau!!!!,tuntut bandingkan jokowi jujur kah kau
2024-11-14T16:19:32Z,@MaragantiBatubara,teteng,0,Teteng,teng
2024-11-14T13:00:03Z,@erlingnyo4289,,0,❤🎉,
2024-11-13T04:23:09Z,@mulyanamuna771,luar biasa bpk negarabrbradil dan amanahbrini baru pemimpin yg sesungguhnya,0,LUAR BIASA BPK. NEGARA.<br><br>ADIL DAN AMANAH.<br>INI BARU PEMIMPIN YG SESUNGGUHNYA.,bpk negarabrbradil amanahbrini pimpin yg sungguh
2024-11-12T16:19:54Z,@EkhaPutryMakesa01,menyala pak prabowo menyebutkan nama dan gelar nya,0,Menyala pak Prabowo. Menyebutkan nama dan gelar nya,sala prabowo nama gelar nya
2024-11-12T11:40:43Z,@Asia-f9o,yg tidak mungkin menjadi mungkinyg tidak bisa menjadi bisamelalui pendidikan yg formal menjadi imformalsiti aisyah soekarnonybarack asia obamas,0,"Yg tidak mungkin menjadi mungkin,,yg tidak bisa menjadi bisa,,melalui pendidikan yg formal menjadi imformal,,🌹🙏🙂,,siti aisyah soekarno,,🙏🙂,,ny,,barack asia obama&#39;s",yg mungkinyg bisamelalui didik yg formal imformalsiti aisyah soekarnonybarack asia obamas
2024-11-12T11:38:55Z,@Asia-f9o,energi dalam tanah minyak bumigas alamtimahtembagabatu baratambang emasdllproyek investasi sinergi alamberupa sandang dan pangandan bisa kita semya kelola dengan baiksalam sinerginybarack asia obamas,0,"energi dalam tanah minyak bumi,,gas alam,,timah,,tembaga,,batu bara,,tambang emas,,dll,,proyek investasi sinergi alam,,berupa sandang dan pangan,,dan bisa kita semya kelola dengan baik,,salam sinergi,,🌹🙏🙂,,ny,,barack asia obama&#39;s",energi tanah minyak bumigas alamtimahtembagabatu baratambang emasdllproyek investasi sinergi alamberupa sandang pangandan semya kelola baiksalam sinerginybarack asia obamas
2024-11-12T11:34:41Z,@Asia-f9o,pengembangan dan perkembangandalam pendidikan ruang lingkup sekolah sekolah yg perlu kita semua perbaikiancaman gencatan musibah bencana alamyg telah kita lalui selama jnidan itu perlu kita perbaiki kembaliyaitu berbenah dalam menata kota di berbagai daerah ibu kotasinergi membanggunnybarack asia obamas,0,"Pengembangan dan perkembangan,,dalam pendidikan ruang lingkup sekolah sekolah yg perlu kita semua perbaiki,,ancaman gencatan musibah bencana alam,,yg telah kita lalui selama jni,,dan itu perlu kita perbaiki kembali,,yaitu berbenah dalam menata kota di berbagai daerah ibu kota,,sinergi membanggun,,🌹🙏🙂,,ny,,barack asia obama&#39;s",pengembangan perkembangandalam didik ruang lingkup sekolah sekolah yg perbaikiancaman gencat musibah bencana alamyg lalu jnidan perbaiki kembaliyaitu benah menata kota daerah kotasinergi membanggunnybarack asia obamas
2024-11-12T10:24:50Z,@gadingan8950,jujur aku menangis ke iklasan bp presiden prabowo semoga panjang umur dan di berikan kesehatan,0,Jujur aku menangis ke iklasan BP presiden Prabowo semoga panjang umur dan di berikan kesehatan,jujur menangis iklasan bp presiden prabowo moga umur sehat
2024-11-12T09:04:33Z,@hanafimus,pak prabowo is the bestsemga indonesia mju dlm kpmipinanmu pak,0,pak prabowo is the best👍🏻🥰🤗🤍semga indonesia mju dlm kpmipinanmu pak 🤲🏻💝🥲😭🥰🤗🤲🏻,prabowo is the bestsemga indonesia mju dlm kpmipinanmu
2024-11-12T07:18:17Z,@qyazdimanado,mashaallah sehat sllu bpk kuh bpk presiden kuh,0,MashaAllah ❤❤❤ sehat sllu Bpk kuh.   Bpk Presiden kuh❤❤,mashaallah sehat sllu bpk kuh bpk presiden kuh
2024-11-12T06:10:08Z,@mandilam3793,sehat selalu bapak prabowo smg sllu dalam lindungan allah swt aamiin,0,"Sehat selalu bapak Prabowo,, SMG sllu dalam lindungan Allah SWT Aamiin",sehat prabowo smg sllu lindung allah swt aamiin
2024-11-11T17:31:39Z,@ArikGips,luar biasa presiden kita semoga membawa perubahan yg selama ini kita harapkan saat nya macan asia bangun dari tidurnya,0,Luar biasa presiden kita semoga membawa perubahan  yg selama ini kita harapkan saat nya macan asia bangun dari tidurnya❤,presiden moga membawa rubah yg harapkan nya macan asia bangun tidur
2024-11-11T14:00:18Z,@rinitolego,i love you pak prabowo,0,I love you pak Prabowo ❤❤❤❤❤,i love you prabowo
2024-11-11T05:19:08Z,@alijeihan9295,hafal nama pejabat negara luar tanpa teks loh pak prabowo jomplang banget sama yg sblmnya,0,"Hafal nama pejabat negara luar ? Tanpa teks loh pak prabowo, jomplang banget sama yg sblmnya 😂",hafal nama jabat negara teks loh prabowo jomplang banget yg sblmnya
2024-11-11T02:16:49Z,@DIRGASEVA13,edan bisa bisa ne apal semua nama ne edannnn,0,Edan .....bisa bisa ne apal semua nama2 ne ....edannnn,edan ne apal nama ne edannnn
2024-11-11T02:13:19Z,@DIRGASEVA13,oke gas oke gas oke gasssd,0,Oke gas oke gas oke gasssd,oke gas oke gas oke gasssd
2024-11-10T23:59:37Z,@ikhsanvivo6367,mudah mudahan niat amp cita cita beliau persiden prabowo pemimpin harapan rakyat indonesia yg amanah pemerintah bersih dari koropsi amp memberantas pejabat yg tak merasa cukup dengan gaji nya semoga alloh swt memudahkan jalan nya,0,Mudah mudahan niat &amp; cita cita beliau.   persiden Prabowo.    Pemimpin harapan rakyat Indonesia.    Yg amanah pemerintah bersih dari koropsi &amp; memberantas pejabat yg tak merasa cukup dengan gaji nya.     Semoga Alloh SWT.  Memudahkan jalan nya.,mudah mudah niat amp cita cita beliau persiden prabowo pimpin harap rakyat indonesia yg amanah perin bersih koropsi amp memberantas jabat yg gaji nya moga alloh swt memudahkan jalan nya
2024-11-10T17:32:37Z,@SahBudin-ql3mw,semuyahh ucappp aaaminnnnnn ajasiii,0,Semuyahh ucappp aaaminnnnnn ajasiii,semuyahh ucappp aaaminnnnnn ajasiii
2024-11-10T17:09:34Z,@KayaruddinKayaruddin,bela rayat pak prabowokayo singkil,0,Bela rayat pak prabowo...kayo singkil,bela rayat prabowokayo singkil
2024-11-10T15:05:36Z,@RamliDgRanca,apa lg kalau sdh tdk membayar lg ratusan jt tes polisi dan tni tambah hebat p presiden prabowo,0,Apa lg kalau sdh tdk membayar lg ratusan jt tes polisi dan TNI tambah hebat p presiden prabowo.,lg sdh tdk membayar lg ratus jt tes polisi tni hebat p presiden prabowo
2024-11-09T02:14:42Z,@cekgu-n1b,sngat luar biasa ingatan bpak prabowo bisa hafal smua tamu negara luar negerismoga negeri ku bisa jd negara yg di sengani oleh negara lainslamat bertugas bpak prabowo,0,Sngat luar biasa ingatan bpak prabowo bisa hafal smua tamu negara luar negeri..smoga negeri ku bisa jd negara yg di sengani oleh negara lain..slamat bertugas bpak prabowo.,sngat ingat bpak prabowo hafal smua tamu negara negerismoga negeri ku jd negara yg sengani negara lainslamat tugas bpak prabowo
2024-11-08T08:46:03Z,@Tamagochi13,ini lebih dari jenius,0,Ini lebih dari jenius...,jenius
2024-11-08T02:01:52Z,@YanaKuy,dan juga kami tdk langsung bangga dengan mendengarkan yg masih rencana jika mengaca pada yg sebelum nya dan kami akan bangga dgn buktinya nntmaka kami tnggu bapak presidenku yg terhormat hormat kami pak dari rakyatmu,0,"Dan juga kami tdk langsung bangga dengan mendengarkan yg masih rencana, jika mengaca pada yg sebelum2 nya. Dan kami akan bangga dgn buktinya nnt..maka kami tnggu bapak presidenku yg terhormat. Hormat kami pak, dari rakyatmu",tdk langsung bangga mendengarkan yg rencana mengaca yg nya bangga dgn bukti nntmaka tnggu presiden yg hormat hormat rakyat
2024-11-07T22:57:41Z,@Titi-j4j,,0,🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤗🤗🤗🤗🤗🤗🤗🤗🤗😍😍😍😍😍😍😍😍☺️☺️☺️☺️🤩🤩🤩🤩🤩🤩❤️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️❤🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🤭🤭🤭🤭🤭😚😚😚❤,
2024-11-07T18:22:52Z,@Lailachanel467,,0,❤❤❤❤,
2024-11-07T01:04:01Z,@paundraes9538,merinding bercampur haru dan bangga mempunyai presiden baru prabowo subiantomenyala jendralku kami rakyat selalu mendoakan yg terbaik buat bapak aamiin,1,Merinding bercampur haru dan bangga mempunyai presiden baru  prabowo subianto...menyala jendralku kami rakyat selalu mendoakan yg terbaik buat bapak AAMIIN,rinding campur haru bangga presiden prabowo subiantomenyala jendralku rakyat mendoakan yg baik aamiin
2024-11-06T21:07:22Z,@donisenoaji4206,megawati menghilang dari lane,0,Megawati menghilang dari lane,gawat hilang lane
2024-11-06T18:15:31Z,@4WDchannel2023,alhamdulillah x pak presiden luar biasa,0,Alhamdulillah 33x Pak Presiden luar biasa.,alhamdulillah x presiden
2024-11-06T18:11:59Z,@ManinMulyadi,ya allah smoga diblancarkan segala urusan dan niat baik bpk presiden prabowo dan smoga allah swt memberi kesehatan slalu dan umur panjang kpada bpk presiden prabowo amin,0,ya allah smoga diblancarkan segala urusan dan niat baik bpk presiden prabowo. dan smoga allah swt memberi kesehatan slalu dan umur panjang kpada bpk presiden prabowo amin,ya allah smoga diblancarkan urus niat bpk presiden prabowo smoga allah swt sehat slalu umur kpada bpk presiden prabowo amin
2024-11-06T15:46:30Z,@mochjaelani1657,merinding bapak semoga apa yg bapak prabowo impikan terwujud amin ya robal alamin,0,Merinding bapak 🔥🔥🤲semoga apa yg bapak prabowo impikan terwujud amin ya robal alamin,rinding moga yg prabowo impikan wujud amin ya robal alamin
2024-11-06T15:14:44Z,@DesyaFalistya,pak prabowo klo mode serius kereeen yabrberwibawa banget,0,Pak prabowo klo mode serius. Kereeen ya<br>Berwibawa banget,prabowo klo mode serius kereeen yabrberwibawa banget
2024-11-06T13:30:58Z,@AniSukarni-sd7rp,semangat terus semoga bapak selalu sehat agar bisa mengemban amanah masya alloh sangat luar biasa,0,Semangat terus... semoga bapak selalu sehat agar bisa mengemban amanah. Masya Alloh sangat luar biasa....,semangat moga sehat mengemban amanah masya alloh
2024-11-06T11:54:45Z,@ipanrizky9141,,0,❤❤❤❤❤,
